,Customer ID,Age,Gender,Item Purchased,Review Rating,Location,Review Rating,Payment Method,Previous Purchases,Income,ServiceQuality,FeedbackScore,LoyaltyLevel,SatisfactionScore,Product_ID,Purchase_Frequency,Average_Spending_Value,Most_Frequent_Category,Retention_Strategy,Churn_Probability,Lifetime_Value,Season
22,23,56,Male,Pants,3.2,California,3.2,Cash,32,42216,6,Medium,Gold,90.59,PROD_R6QGPV,16,166.36,Home,Email Campaign,0.88,5125.94,Winter
23,24,31,Male,Pants,4.4,Oklahoma,4.4,Credit Card,40,59536,5,High,Silver,99.65,PROD_KCO2XQ,11,106.34,Home,Loyalty Program,0.17,627.2,Winter
24,25,18,Male,Jacket,2.9,Florida,2.9,Cash,16,48184,2,Low,Gold,49.73,PROD_V9G363,19,58.13,Home,Discount,0.83,1794.11,Summer
25,26,18,Male,Hoodie,3.6,Texas,3.6,Bank Transfer,14,116529,5,Medium,Silver,70.82,PROD_VWJAW6,9,100.65,Electronics,Email Campaign,0.82,9709.29,Fall
26,27,38,Male,Jewelry,3.6,Nevada,3.6,Cash,13,92619,8,Low,Gold,100.0,PROD_LLJO26,11,138.91,Electronics,Email Campaign,0.45,1699.1,Fall
27,28,56,Male,Shorts,5.0,Kentucky,5.0,Debit Card,7,102225,4,Low,Gold,100.0,PROD_A0GGZN,4,179.37,Home,Discount,0.28,3526.92,Summer
28,29,54,Male,Handbag,4.4,North Carolina,4.4,Debit Card,41,108541,1,Medium,Silver,75.74,PROD_9FP1KM,18,47.25,Clothing,Email Campaign,0.55,3666.4,Fall
29,30,31,Male,Dress,4.1,Wyoming,4.1,Venmo,14,48768,8,High,Gold,100.0,PROD_DNB9HU,7,165.36,Home,Discount,0.76,2028.94,Winter
30,31,57,Male,Jewelry,4.7,North Carolina,4.7,Bank Transfer,16,95975,7,Medium,Bronze,100.0,PROD_67CKAZ,13,169.44,Electronics,Loyalty Program,0.36,4558.4,Spring
31,32,33,Male,Dress,4.7,West Virginia,4.7,Venmo,45,41604,9,Medium,Bronze,100.0,PROD_0VHFS7,1,138.29,Electronics,Email Campaign,0.27,2053.08,Summer
32,33,36,Male,Jacket,4.9,Kansas,4.9,Bank Transfer,37,100739,8,Medium,Bronze,100.0,PROD_SMVS94,12,101.33,Sports,Discount,0.95,3860.4,Summer
33,34,54,Male,Pants,3.3,Colorado,3.3,Venmo,45,119278,7,High,Gold,100.0,PROD_85FXS1,2,51.68,Clothing,Discount,0.27,7406.47,Winter
34,35,36,Male,T-shirt,4.6,North Dakota,4.6,Debit Card,38,112220,7,Low,Silver,100.0,PROD_SFPDI5,14,48.23,Home,Email Campaign,0.46,933.63,Winter
35,36,54,Male,Blouse,4.0,Massachusetts,4.0,Bank Transfer,48,113282,10,High,Bronze,100.0,PROD_AYJHII,19,58.92,Sports,Discount,0.97,6527.21,Fall
36,37,35,Male,T-shirt,4.6,Illinois,4.6,Cash,44,65286,1,Low,Silver,88.16,PROD_QRJOQQ,5,37.72,Sports,Loyalty Program,0.16,9937.12,Winter
37,38,35,Male,Jeans,2.8,Indiana,2.8,Debit Card,10,40530,6,High,Bronze,63.97,PROD_4XTTVE,2,61.25,Electronics,Email Campaign,0.98,3585.45,Fall
38,39,29,Male,Dress,3.7,Florida,3.7,Debit Card,44,34580,9,High,Bronze,100.0,PROD_JSTXXZ,9,46.48,Clothing,Discount,0.59,6308.82,Fall
39,40,70,Male,Pants,4.2,Arizona,4.2,Bank Transfer,18,75929,7,Low,Bronze,91.94,PROD_38AOV5,19,23.99,Sports,Discount,0.93,4860.19,Summer
40,41,69,Male,Handbag,4.6,Louisiana,4.6,PayPal,31,112595,5,Medium,Gold,100.0,PROD_IS1C0S,4,182.98,Clothing,Email Campaign,0.94,4384.96,Fall
41,42,67,Male,Scarf,4.5,Alaska,4.5,Cash,40,37897,1,Low,Bronze,72.89,PROD_0SQDEQ,5,99.78,Home,Email Campaign,0.44,3917.09,Winter
42,43,20,Male,Coat,4.1,Tennessee,4.1,Bank Transfer,15,87990,10,High,Bronze,100.0,PROD_9Y47SE,2,144.04,Electronics,Email Campaign,0.11,6457.94,Summer
43,44,25,Male,Scarf,3.7,Ohio,3.7,PayPal,19,91060,6,Low,Silver,96.58,PROD_IGQ04T,16,147.99,Home,Email Campaign,0.54,9793.48,Fall
44,45,39,Male,Hat,4.6,Kentucky,4.6,Bank Transfer,45,110598,4,Medium,Silver,63.49,PROD_RA21TR,6,43.79,Electronics,Loyalty Program,0.78,2071.72,Winter
45,46,50,Male,Socks,2.9,Tennessee,2.9,Venmo,25,40211,3,High,Silver,79.86,PROD_KK674F,9,140.74,Electronics,Email Campaign,0.97,4032.5,Summer
46,47,57,Male,Shirt,2.9,California,2.9,Venmo,45,36990,5,Medium,Silver,98.21,PROD_BQZPQW,10,168.79,Sports,Loyalty Program,0.6,4170.08,Summer
47,48,55,Male,Jewelry,4.5,Montana,4.5,Debit Card,36,55680,1,Low,Silver,46.66,PROD_LMZ8FO,4,180.07,Clothing,Discount,0.28,5093.39,Spring
48,49,42,Male,Shirt,2.7,Nevada,2.7,Debit Card,38,54175,7,Low,Bronze,86.36,PROD_G9QAZF,3,151.9,Home,Discount,0.24,1686.06,Winter
49,50,68,Male,Hoodie,4.6,New Jersey,4.6,Bank Transfer,34,111018,3,Medium,Gold,100.0,PROD_QSBLCY,13,54.2,Clothing,Email Campaign,0.26,8156.23,Summer
50,51,49,Male,Blouse,3.7,Maryland,3.7,Cash,39,43211,6,High,Bronze,81.61,PROD_NV7ANP,4,70.04,Sports,Loyalty Program,0.18,4456.32,Fall
51,52,59,Male,Skirt,4.7,Vermont,4.7,PayPal,7,114860,7,High,Bronze,100.0,PROD_MKX3U2,11,79.79,Electronics,Loyalty Program,0.92,3278.04,Spring
52,53,42,Male,T-shirt,2.6,Alaska,2.6,Credit Card,26,57358,4,High,Silver,63.75,PROD_VP1C85,7,141.62,Home,Discount,0.24,8513.1,Summer
53,54,29,Male,Skirt,3.9,Mississippi,3.9,Debit Card,35,54191,7,Low,Gold,94.73,PROD_DLW1HT,17,25.67,Electronics,Email Campaign,0.99,9777.23,Summer
54,55,47,Male,Coat,4.2,New Mexico,4.2,Bank Transfer,35,99965,10,High,Gold,100.0,PROD_V7YPR0,8,121.15,Home,Loyalty Program,0.04,7429.9,Fall
55,56,40,Male,Jacket,3.0,South Carolina,3.0,Venmo,49,114041,8,High,Silver,100.0,PROD_REQDDN,5,159.29,Clothing,Loyalty Program,1.0,9884.14,Winter
56,57,41,Male,Backpack,4.7,Mississippi,4.7,PayPal,46,70385,10,Low,Bronze,100.0,PROD_7M7FN6,7,143.17,Electronics,Discount,0.75,9939.87,Spring
57,58,21,Male,Coat,4.4,West Virginia,4.4,PayPal,17,55312,9,Low,Bronze,99.01,PROD_I8BK7H,18,112.91,Sports,Loyalty Program,0.3,481.09,Winter
58,59,69,Male,Hoodie,4.2,Missouri,4.2,Credit Card,29,99717,9,High,Silver,91.14,PROD_GEO4BY,2,87.07,Sports,Loyalty Program,0.25,4389.88,Winter
59,60,63,Male,Belt,4.6,Louisiana,4.6,Debit Card,4,116849,7,Medium,Silver,100.0,PROD_ZDFDHP,16,90.59,Electronics,Email Campaign,0.45,6536.15,Spring
60,61,50,Male,Sweater,4.0,Idaho,4.0,Credit Card,17,39919,1,Low,Gold,59.41,PROD_HGV6XV,16,155.46,Electronics,Loyalty Program,0.28,514.55,Fall
61,62,55,Male,Scarf,4.7,Texas,4.7,Bank Transfer,21,108598,5,Medium,Gold,90.05,PROD_QKQZCD,1,29.43,Clothing,Loyalty Program,0.37,6446.33,Fall
62,63,30,Male,Sneakers,3.8,Mississippi,3.8,Credit Card,31,81699,10,High,Gold,100.0,PROD_APLSZ5,11,187.02,Home,Discount,0.36,3209.14,Winter
63,64,33,Male,Sunglasses,2.7,Arizona,2.7,Credit Card,43,56536,1,High,Gold,67.19,PROD_06OMWE,8,193.61,Clothing,Discount,0.09,4250.12,Summer
64,65,65,Male,Boots,4.8,Alabama,4.8,PayPal,18,70364,1,High,Gold,60.67,PROD_FZPBJ0,1,165.46,Clothing,Discount,0.49,3399.96,Summer
65,66,65,Male,Backpack,4.8,New Jersey,4.8,Credit Card,44,99149,2,Low,Bronze,87.19,PROD_Q33F7S,5,141.7,Clothing,Email Campaign,0.54,4979.03,Winter
66,67,31,Male,Blouse,4.7,Pennsylvania,4.7,Bank Transfer,3,115925,3,High,Gold,100.0,PROD_W0BL0N,9,76.18,Clothing,Email Campaign,0.92,6700.23,Summer
67,68,45,Male,Coat,4.4,Connecticut,4.4,PayPal,49,34262,9,High,Gold,99.86,PROD_LPYYDT,11,105.41,Clothing,Discount,0.35,8484.97,Fall
68,69,57,Male,Handbag,3.9,Utah,3.9,Credit Card,21,64450,3,Medium,Silver,100.0,PROD_AYH2IY,12,195.98,Clothing,Discount,0.94,2131.19,Spring
69,70,48,Male,Belt,4.4,Tennessee,4.4,Credit Card,5,75486,4,Low,Silver,80.11,PROD_57UL5X,13,40.69,Electronics,Email Campaign,0.82,5732.6,Summer
70,71,22,Male,Belt,4.2,Alabama,4.2,Credit Card,32,91477,3,High,Silver,91.6,PROD_7PA2MO,8,168.99,Electronics,Discount,0.04,4436.29,Winter
71,72,36,Male,Dress,2.9,Virginia,2.9,Debit Card,34,60308,2,High,Bronze,76.91,PROD_B4YT9N,7,52.13,Electronics,Discount,0.08,549.09,Winter
72,73,18,Male,Dress,2.9,Georgia,2.9,Debit Card,21,43257,4,Low,Silver,46.58,PROD_C2Y1TF,12,121.6,Electronics,Loyalty Program,0.76,3714.99,Fall
73,74,48,Male,Pants,2.7,Hawaii,2.7,Debit Card,43,104318,10,Low,Bronze,100.0,PROD_VCTO6F,17,39.01,Sports,Discount,0.13,7543.91,Winter
74,75,49,Male,Gloves,4.5,Indiana,4.5,PayPal,3,98548,9,Medium,Silver,100.0,PROD_2WKC14,13,161.93,Clothing,Email Campaign,0.23,6924.0,Summer
75,76,64,Male,Scarf,2.7,Utah,2.7,Debit Card,21,90145,6,Medium,Bronze,78.7,PROD_XISEVK,10,69.27,Home,Email Campaign,0.12,955.14,Summer
76,77,50,Male,Hat,4.2,Delaware,4.2,Bank Transfer,32,64282,1,Medium,Bronze,83.31,PROD_60BHU4,5,78.06,Clothing,Discount,0.8,5970.92,Fall
77,78,22,Male,Dress,3.3,Delaware,3.3,Debit Card,36,58514,6,Medium,Bronze,87.35,PROD_9HDA2G,4,37.09,Sports,Discount,0.05,6353.19,Spring
78,79,50,Male,Skirt,4.7,Nebraska,4.7,Venmo,50,47155,5,High,Silver,87.48,PROD_ZNVVA4,10,105.61,Clothing,Loyalty Program,0.37,6435.21,Winter
79,80,38,Male,Jacket,2.6,Iowa,2.6,Bank Transfer,43,95408,8,Low,Bronze,100.0,PROD_LIHMIO,13,65.97,Clothing,Discount,0.08,3889.56,Winter
80,81,19,Male,Sandals,3.3,New York,3.3,Credit Card,24,102144,9,Low,Silver,91.72,PROD_CHEZ3Y,10,44.92,Electronics,Loyalty Program,0.15,6286.12,Spring
81,82,67,Male,Shoes,2.6,Virginia,2.6,PayPal,36,84868,4,Low,Gold,71.21,PROD_KDYCI7,13,175.81,Clothing,Email Campaign,0.25,2173.1,Summer
82,83,19,Male,Pants,4.0,Georgia,4.0,Bank Transfer,21,56005,8,Low,Gold,88.37,PROD_6JC3IE,4,48.07,Home,Loyalty Program,0.94,182.6,Spring
83,84,36,Male,Dress,4.1,Texas,4.1,Debit Card,34,41451,8,Low,Gold,100.0,PROD_W15OP6,8,82.69,Clothing,Loyalty Program,0.28,7565.07,Summer
84,85,52,Male,Coat,4.4,Arizona,4.4,Cash,42,65875,4,Low,Gold,84.12,PROD_JV3HSP,1,156.04,Electronics,Loyalty Program,0.53,9792.55,Fall
85,86,53,Male,Sunglasses,4.5,New Mexico,4.5,Credit Card,2,118933,1,Low,Bronze,51.57,PROD_VE9FAM,8,46.0,Clothing,Loyalty Program,0.43,2945.99,Fall
86,87,24,Male,Hoodie,3.7,Nevada,3.7,Venmo,47,115896,4,Medium,Silver,79.53,PROD_FOM3QG,1,186.54,Sports,Discount,0.22,5576.28,Summer
87,88,52,Male,Shoes,3.7,Ohio,3.7,Debit Card,44,98973,10,Medium,Silver,100.0,PROD_BRGWOE,14,157.37,Sports,Email Campaign,0.37,726.95,Summer
88,89,33,Male,T-shirt,3.5,Wyoming,3.5,Credit Card,35,44838,7,High,Bronze,84.79,PROD_W78Y00,16,175.7,Clothing,Email Campaign,0.76,3128.79,Winter
89,90,47,Male,Jacket,3.6,California,3.6,Bank Transfer,15,108700,3,Medium,Silver,100.0,PROD_OE7XRF,10,138.67,Sports,Loyalty Program,0.74,8802.47,Fall
90,91,25,Male,Hat,2.9,South Carolina,2.9,Venmo,29,69885,6,Medium,Gold,71.42,PROD_VK226H,3,172.19,Electronics,Loyalty Program,0.24,843.02,Summer
91,92,44,Male,Scarf,4.6,South Carolina,4.6,PayPal,18,71049,2,High,Silver,77.42,PROD_FXKWAD,8,30.95,Home,Loyalty Program,0.25,7759.72,Fall
92,93,61,Male,Jacket,4.4,Texas,4.4,Cash,13,56243,10,Medium,Gold,100.0,PROD_PUWL9C,11,69.05,Home,Loyalty Program,0.04,3421.3,Summer
93,94,37,Male,Sweater,4.5,Florida,4.5,PayPal,46,65122,7,Medium,Gold,82.91,PROD_ZKTGY4,5,32.18,Sports,Loyalty Program,0.23,2682.46,Spring
94,95,58,Male,Skirt,4.6,Nevada,4.6,Bank Transfer,28,52438,8,Low,Gold,91.78,PROD_0HPPRU,7,35.98,Home,Email Campaign,0.08,3408.85,Summer
95,96,37,Male,Sneakers,3.8,Missouri,3.8,PayPal,48,38297,9,High,Gold,81.73,PROD_JQKMA9,10,97.5,Sports,Loyalty Program,0.39,6008.65,Winter
96,97,32,Male,Gloves,3.6,Delaware,3.6,Venmo,43,87011,1,Medium,Gold,83.53,PROD_J0NICY,1,120.55,Electronics,Discount,0.86,4170.5,Fall
97,98,21,Male,Shoes,4.8,Virginia,4.8,PayPal,37,114170,9,Medium,Gold,100.0,PROD_5RE3HX,19,103.19,Clothing,Discount,0.12,666.12,Spring
98,99,20,Male,Jeans,2.6,New York,2.6,Cash,20,51814,3,High,Gold,62.79,PROD_J7IA73,11,61.74,Clothing,Discount,0.49,1517.8,Spring
99,100,26,Male,Hoodie,3.7,Missouri,3.7,Cash,33,48027,7,High,Gold,73.83,PROD_KYQOGN,10,128.51,Clothing,Email Campaign,0.1,977.86,Fall
100,101,62,Male,Sunglasses,2.7,South Dakota,2.7,PayPal,31,84302,6,Low,Bronze,100.0,PROD_ULSC9X,8,72.7,Home,Discount,0.86,7231.13,Winter
101,102,27,Male,Coat,4.6,North Dakota,4.6,Venmo,50,73911,9,Low,Gold,87.24,PROD_50ZMSE,13,199.76,Home,Loyalty Program,0.24,1666.64,Fall
102,103,51,Male,Socks,4.8,Oklahoma,4.8,Credit Card,35,42143,9,High,Gold,100.0,PROD_91W0VF,2,122.65,Clothing,Loyalty Program,0.38,567.28,Fall
103,104,54,Male,Boots,4.0,West Virginia,4.0,Debit Card,22,109502,4,Low,Gold,84.43,PROD_MSW50K,17,91.92,Sports,Discount,0.12,9238.72,Fall
104,105,55,Male,Sunglasses,4.4,New Hampshire,4.4,Bank Transfer,1,78192,5,High,Silver,85.26,PROD_5N7JDT,8,180.68,Electronics,Discount,0.13,8896.81,Fall
105,106,69,Male,Backpack,3.6,New York,3.6,Bank Transfer,4,92190,4,Medium,Gold,59.89,PROD_TJI0KT,6,39.65,Electronics,Discount,0.51,6765.08,Spring
106,107,64,Male,Jacket,3.7,Minnesota,3.7,Cash,31,79929,9,Low,Bronze,79.86,PROD_3I2T16,13,79.7,Clothing,Loyalty Program,0.93,3050.4,Spring
107,108,28,Male,Sneakers,3.1,Maryland,3.1,Cash,46,40839,5,Low,Gold,90.56,PROD_2F8I98,6,128.88,Sports,Loyalty Program,0.71,128.02,Summer
108,109,70,Male,Socks,3.4,Montana,3.4,Bank Transfer,32,110206,9,Medium,Bronze,100.0,PROD_TRJDBV,9,99.62,Electronics,Email Campaign,0.04,7129.69,Summer
109,110,58,Male,T-shirt,2.6,Alabama,2.6,Cash,43,87200,8,Medium,Bronze,93.71,PROD_PSYN74,13,128.57,Sports,Loyalty Program,0.4,711.52,Spring
110,111,56,Male,Backpack,4.0,New York,4.0,Bank Transfer,26,49631,2,Low,Gold,79.97,PROD_4UZA62,3,73.03,Electronics,Loyalty Program,0.15,9705.66,Spring
111,112,26,Male,Belt,5.0,Massachusetts,5.0,PayPal,9,112389,6,Medium,Bronze,81.08,PROD_IU4XOE,11,101.47,Electronics,Discount,0.44,2672.93,Spring
112,113,37,Male,Gloves,4.3,Florida,4.3,Credit Card,28,67911,7,Medium,Gold,100.0,PROD_1AQQBV,16,162.83,Home,Loyalty Program,0.17,6899.44,Spring
113,114,44,Male,Hat,3.1,New Jersey,3.1,Debit Card,20,35065,3,Medium,Silver,78.74,PROD_1TF70I,11,117.22,Electronics,Discount,0.18,2200.37,Summer
114,115,70,Male,Coat,3.7,Massachusetts,3.7,Venmo,9,72646,9,Medium,Gold,100.0,PROD_HECA62,3,79.85,Home,Loyalty Program,0.68,2397.39,Fall
115,116,53,Male,Skirt,3.8,Wyoming,3.8,Cash,48,39540,4,High,Gold,74.69,PROD_KM8KUD,12,191.24,Clothing,Email Campaign,0.44,825.13,Summer
116,117,55,Male,Shoes,3.4,Virginia,3.4,PayPal,12,106576,4,High,Silver,70.77,PROD_C5Z26S,5,189.2,Clothing,Loyalty Program,0.2,2432.16,Fall
117,118,50,Male,Sandals,4.6,South Dakota,4.6,Bank Transfer,29,68947,4,High,Silver,85.99,PROD_Q1F10S,3,83.92,Electronics,Loyalty Program,0.98,6756.35,Summer
118,119,50,Male,Sweater,4.8,Kentucky,4.8,Bank Transfer,27,114199,3,High,Silver,76.93,PROD_3ZMZA9,6,125.79,Home,Loyalty Program,0.54,2333.31,Fall
119,120,38,Male,Coat,4.3,Wyoming,4.3,Debit Card,44,96881,6,Low,Silver,99.16,PROD_0DXZ79,19,62.65,Sports,Email Campaign,0.77,7577.54,Fall
120,121,64,Male,Hat,4.0,West Virginia,4.0,PayPal,32,114907,9,Low,Gold,97.81,PROD_WKFQJ3,4,45.21,Electronics,Email Campaign,0.29,4404.1,Winter
121,122,19,Male,Shorts,4.2,Virginia,4.2,Cash,11,106990,6,High,Silver,100.0,PROD_9R98KN,5,68.41,Sports,Discount,0.09,3839.97,Spring
122,123,40,Male,Backpack,4.8,Washington,4.8,Credit Card,44,31196,2,Medium,Gold,63.03,PROD_1SNBVE,8,63.84,Electronics,Discount,0.17,7419.49,Winter
123,124,57,Male,Sweater,3.1,Louisiana,3.1,Debit Card,46,93460,7,Low,Bronze,99.76,PROD_IT717Q,4,194.85,Sports,Loyalty Program,0.32,718.17,Spring
124,125,44,Male,Sweater,3.1,Nevada,3.1,PayPal,50,60328,8,Low,Silver,79.87,PROD_QYT7SW,12,151.04,Sports,Loyalty Program,0.43,8162.55,Fall
125,126,49,Male,Shorts,3.6,California,3.6,Cash,45,91303,9,High,Gold,100.0,PROD_8VAQY0,1,123.76,Electronics,Loyalty Program,0.82,2525.29,Fall
126,127,43,Male,Shorts,3.9,Mississippi,3.9,Bank Transfer,48,52193,3,High,Silver,68.52,PROD_WPIL5B,7,188.85,Home,Loyalty Program,0.82,1716.41,Summer
127,128,24,Male,Sweater,4.8,Mississippi,4.8,Venmo,26,72818,9,Low,Silver,100.0,PROD_EQJEIX,13,26.16,Electronics,Email Campaign,0.75,9071.72,Summer
128,129,20,Male,Scarf,4.7,California,4.7,Venmo,21,73862,6,Medium,Gold,100.0,PROD_SY44GQ,2,59.18,Electronics,Loyalty Program,0.32,6127.71,Fall
129,130,24,Male,Dress,4.2,Pennsylvania,4.2,Cash,49,61460,10,Low,Bronze,85.23,PROD_9HJUMB,6,63.15,Electronics,Discount,0.97,1280.44,Spring
130,131,44,Male,Scarf,3.7,Kentucky,3.7,Credit Card,13,40368,7,Medium,Bronze,72.15,PROD_6VYL5Q,11,103.72,Home,Loyalty Program,0.76,5618.73,Fall
131,132,28,Male,Skirt,3.9,Maine,3.9,PayPal,46,95265,1,High,Bronze,96.28,PROD_PMDE3S,13,49.79,Clothing,Email Campaign,0.31,9534.92,Fall
132,133,30,Male,Backpack,4.7,New Mexico,4.7,Bank Transfer,42,33910,9,Low,Silver,100.0,PROD_Y756B1,16,137.38,Sports,Discount,0.18,4058.92,Summer
133,134,52,Male,Sweater,2.5,Montana,2.5,Bank Transfer,25,112935,3,Medium,Bronze,89.43,PROD_JGLZ0G,13,32.26,Electronics,Loyalty Program,0.9,3034.81,Fall
134,135,43,Male,Hat,4.9,Texas,4.9,Credit Card,25,77042,2,Medium,Gold,51.15,PROD_IKB9GQ,16,150.47,Home,Loyalty Program,0.89,4237.48,Fall
135,136,43,Male,Sandals,4.1,Kansas,4.1,PayPal,12,115074,9,High,Silver,100.0,PROD_OHZRVC,19,88.07,Home,Discount,0.83,4483.33,Spring
136,137,39,Male,Blouse,3.3,South Carolina,3.3,Credit Card,4,51341,3,High,Gold,57.98,PROD_PS5AGZ,10,91.25,Electronics,Discount,0.53,4454.13,Fall
137,138,68,Male,Sneakers,4.7,Colorado,4.7,Cash,38,104888,7,Low,Bronze,100.0,PROD_3AAY9T,2,156.92,Electronics,Loyalty Program,0.77,3777.19,Winter
138,139,68,Male,Skirt,4.4,Georgia,4.4,Cash,42,45970,3,Medium,Bronze,88.63,PROD_WLJHEY,2,22.38,Sports,Discount,0.43,6853.05,Spring
139,140,49,Male,Coat,3.8,Florida,3.8,Debit Card,30,46546,2,Medium,Gold,77.78,PROD_Q0JNGA,5,28.7,Home,Discount,0.5,3507.66,Spring
140,141,63,Male,Shirt,3.9,North Carolina,3.9,Bank Transfer,50,60860,9,Low,Bronze,100.0,PROD_ZC2DS8,18,80.6,Home,Discount,0.46,8806.33,Fall
141,142,56,Male,Gloves,4.9,Virginia,4.9,PayPal,45,51145,3,High,Gold,92.42,PROD_7IOKLW,8,137.58,Electronics,Email Campaign,0.28,8812.2,Winter
142,143,37,Male,Jacket,3.1,Nebraska,3.1,PayPal,33,67042,1,High,Silver,26.67,PROD_U6X54G,12,117.9,Clothing,Email Campaign,0.73,1442.09,Summer
143,144,30,Male,Coat,2.7,Missouri,2.7,Bank Transfer,25,65992,9,Medium,Bronze,78.83,PROD_6A65WZ,8,189.13,Clothing,Loyalty Program,0.04,5404.37,Fall
144,145,19,Male,Shoes,3.2,New Jersey,3.2,Credit Card,25,103510,3,High,Bronze,83.59,PROD_7IPDZP,1,90.67,Electronics,Email Campaign,0.92,6686.41,Winter
145,146,24,Male,Jewelry,4.5,Missouri,4.5,Venmo,44,42746,4,Low,Silver,97.22,PROD_H1YD38,10,159.94,Clothing,Email Campaign,0.93,9676.79,Fall
146,147,52,Male,Skirt,4.0,Colorado,4.0,Debit Card,21,101133,3,Low,Silver,77.17,PROD_MH6MNK,13,53.38,Electronics,Discount,0.46,3557.0,Spring
147,148,63,Male,Shoes,3.5,Idaho,3.5,Bank Transfer,31,61284,2,High,Gold,51.81,PROD_Y9QX6S,7,132.58,Electronics,Email Campaign,0.79,708.91,Spring
148,149,37,Male,Gloves,2.6,Wyoming,2.6,PayPal,47,117613,9,Medium,Silver,100.0,PROD_ZX8QQU,12,62.46,Sports,Loyalty Program,0.83,5698.74,Fall
